#Running 500 Trials#World2B#RRT#
#run, #iterations, #verticies, #solution, #goal
0, 1490, 1359, 56, 139.89
1, 2680, 2385, 67, 166.03
2, 1743, 1550, 59, 147.16
3, 2776, 2465, 62, 154.43
4, 3968, 3432, 65, 161.50
5, 1647, 1486, 62, 153.00
6, 1690, 1488, 57, 140.66
7, 1552, 1376, 67, 165.26
8, 2512, 2212, 67, 166.11
9, 2008, 1801, 62, 153.43
10, 2833, 2509, 63, 155.66
11, 3549, 3127, 62, 153.00
12, 1321, 1165, 61, 150.50
13, 2314, 2034, 69, 171.62
14, 2517, 2220, 62, 154.84
15, 3767, 3318, 65, 160.95
16, 2219, 1980, 74, 182.76
17, 1921, 1732, 58, 143.61
18, 1846, 1659, 76, 187.76
19, 2460, 2123, 73, 181.45
20, 4124, 3629, 65, 162.18
21, 1731, 1543, 60, 149.48
22, 2938, 2603, 64, 157.76
23, 6381, 5629, 59, 146.51
24, 1742, 1528, 60, 148.00
25, 3604, 3159, 59, 146.50
26, 4565, 4030, 62, 154.12
27, 2730, 2384, 67, 166.50
28, 3077, 2720, 53, 130.50
29, 5530, 4812, 63, 156.68
30, 1331, 1191, 60, 149.00
31, 3619, 3165, 66, 163.61
32, 1505, 1370, 55, 136.11
33, 1731, 1569, 66, 162.83
34, 2594, 2226, 72, 179.90
35, 1084, 992, 51, 126.09
36, 2948, 2557, 75, 186.97
37, 2207, 1940, 67, 166.99
38, 785, 711, 62, 154.12
39, 3082, 2719, 66, 164.24
40, 2513, 2229, 68, 169.73
41, 2733, 2420, 61, 150.26
42, 2459, 2193, 62, 154.22
43, 1610, 1439, 58, 143.48
44, 1189, 1050, 56, 138.61
45, 4206, 3703, 60, 147.83
46, 1766, 1573, 62, 154.17
47, 3203, 2803, 57, 141.50
48, 1566, 1370, 58, 144.28
49, 1927, 1739, 62, 154.00
50, 2594, 2295, 66, 164.48
51, 1777, 1598, 59, 145.33
52, 2528, 2252, 64, 159.15
53, 1718, 1529, 57, 141.11
54, 2301, 2017, 62, 154.31
55, 1367, 1205, 60, 149.12
56, 3695, 3147, 52, 129.47
57, 2725, 2445, 67, 165.26
58, 1579, 1401, 64, 158.00
59, 2182, 1952, 59, 145.33
60, 1933, 1732, 62, 154.52
