#Running 100 Trials#World2A#RRTC#
#run, #iterations, #verticies, #solution, #goal
0, 1876, 197, 67, 165.00
1, 2375, 187, 63, 155.00
2, 1217, 195, 61, 150.00
3, 1025, 169, 63, 155.00
4, 1286, 156, 61, 150.00
5, 847, 149, 61, 150.00
6, 1566, 186, 62, 152.50
7, 1637, 197, 59, 145.00
8, 982, 222, 75, 185.00
9, 4193, 270, 58, 142.50
10, 1624, 180, 64, 157.50
11, 1161, 176, 69, 170.00
12, 3477, 258, 69, 170.00
13, 1327, 147, 56, 137.50
14, 1923, 190, 65, 160.00
15, 1690, 197, 63, 155.00
16, 1004, 160, 66, 162.50
17, 2470, 194, 64, 157.50
18, 3072, 232, 63, 155.00
19, 1072, 140, 59, 145.00
20, 724, 132, 63, 155.00
21, 775, 139, 62, 152.50
22, 658, 141, 59, 145.00
23, 1696, 176, 64, 157.50
24, 2565, 201, 65, 160.00
25, 3748, 263, 73, 180.00
26, 1458, 205, 65, 160.00
27, 2910, 243, 66, 162.50
28, 1909, 206, 63, 155.00
29, 3254, 229, 62, 152.50
30, 2985, 263, 66, 162.50
31, 2546, 197, 56, 137.50
32, 1211, 183, 65, 160.00
33, 2032, 179, 59, 145.00
34, 1120, 167, 62, 152.50
35, 1734, 215, 66, 162.50
36, 933, 160, 66, 162.50
37, 3083, 232, 64, 157.50
38, 1887, 209, 73, 180.00
39, 2625, 209, 62, 152.50
40, 1501, 192, 65, 160.00
41, 1231, 210, 61, 150.00
42, 3661, 264, 59, 145.00
43, 2602, 225, 67, 165.00
44, 2502, 221, 66, 162.50
45, 3100, 228, 62, 152.50
46, 3185, 235, 66, 162.50
47, 1839, 169, 65, 160.00
48, 1741, 178, 62, 152.50
49, 2248, 203, 65, 160.00
50, 1758, 198, 69, 170.00
51, 1471, 166, 62, 152.50
52, 3528, 244, 64, 157.50
53, 1960, 173, 61, 150.00
54, 1852, 211, 63, 155.00
55, 2243, 230, 69, 170.00
56, 2313, 195, 68, 167.50
57, 2198, 210, 62, 152.50
58, 2195, 250, 63, 155.00
59, 3503, 235, 59, 145.00
60, 1345, 169, 62, 152.50
61, 1485, 178, 62, 152.50
62, 3109, 225, 62, 152.50
63, 1134, 202, 57, 140.00
64, 3186, 226, 64, 157.50
65, 1276, 191, 69, 170.00
66, 1255, 181, 61, 150.00
67, 1338, 160, 64, 157.50
68, 1396, 187, 64, 157.50
69, 782, 134, 57, 140.00
70, 2395, 204, 62, 152.50
71, 2043, 184, 58, 142.50
72, 2837, 228, 63, 155.00
73, 2724, 222, 73, 180.00
74, 737, 149, 61, 150.00
75, 2340, 257, 71, 175.00
76, 2133, 229, 70, 172.50
77, 1337, 216, 61, 150.00
78, 1804, 235, 68, 167.50
79, 1664, 165, 61, 150.00
80, 3529, 246, 59, 145.00
81, 1824, 190, 61, 150.00
82, 1402, 205, 61, 150.00
83, 525, 129, 58, 142.50
84, 1437, 160, 63, 155.00
85, 1323, 205, 69, 170.00
86, 988, 160, 61, 150.00
87, 1593, 241, 71, 175.00
88, 2159, 202, 62, 152.50
89, 1698, 205, 68, 167.50
90, 2754, 243, 70, 172.50
91, 1913, 193, 59, 145.00
92, 2212, 198, 63, 155.00
93, 3908, 241, 70, 172.50
94, 1959, 204, 63, 155.00
95, 1944, 209, 73, 180.00
96, 1114, 212, 66, 162.50
97, 984, 157, 60, 147.50
98, 1054, 168, 62, 152.50
99, 1364, 164, 62, 152.50
100, 1343, 146, 60, 147.50
101, 1659, 192, 60, 147.50
102, 763, 136, 60, 147.50
103, 2114, 191, 62, 152.50
104, 1386, 182, 65, 160.00
105, 843, 139, 59, 145.00
106, 1586, 196, 65, 160.00
107, 1614, 195, 58, 142.50
108, 714, 140, 60, 147.50
109, 1591, 211, 70, 172.50
110, 2878, 243, 57, 140.00
111, 1460, 192, 66, 162.50
112, 666, 137, 59, 145.00
113, 2450, 254, 71, 175.00
114, 1338, 162, 63, 155.00
115, 1698, 205, 63, 155.00
116, 1272, 186, 69, 170.00
117, 1083, 176, 62, 152.50
118, 2337, 184, 62, 152.50
119, 1988, 184, 59, 145.00
120, 3016, 218, 58, 142.50
121, 4663, 302, 67, 165.00
122, 1357, 173, 62, 152.50
123, 1793, 199, 65, 160.00
124, 3497, 248, 67, 165.00
125, 2246, 208, 64, 157.50
126, 498, 122, 60, 147.50
127, 2429, 194, 61, 150.00
128, 1440, 191, 63, 155.00
129, 1742, 184, 66, 162.50
130, 3100, 261, 67, 165.00
131, 2870, 242, 67, 165.00
132, 3909, 304, 75, 185.00
133, 2152, 195, 76, 187.50
134, 1046, 146, 60, 147.50
135, 1201, 189, 58, 142.50
136, 1517, 190, 68, 167.50
137, 1460, 169, 68, 167.50
138, 1253, 179, 63, 155.00
139, 1720, 213, 77, 190.00
140, 1480, 179, 62, 152.50
141, 804, 149, 62, 152.50
142, 877, 161, 69, 170.00
143, 3540, 239, 63, 155.00
144, 3134, 208, 66, 162.50
145, 2827, 203, 59, 145.00
146, 1093, 150, 57, 140.00
147, 1518, 160, 66, 162.50
148, 824, 166, 68, 167.50
149, 2987, 253, 62, 152.50
150, 878, 149, 63, 155.00
151, 1142, 150, 56, 137.50
152, 1052, 136, 59, 145.00
153, 2187, 206, 62, 152.50
154, 1218, 161, 63, 155.00
155, 770, 181, 61, 150.00
156, 5250, 284, 71, 175.00
157, 828, 156, 62, 152.50
158, 1019, 159, 62, 152.50
159, 3458, 227, 60, 147.50
160, 2784, 216, 65, 160.00
161, 1083, 160, 72, 177.50
162, 3427, 245, 66, 162.50
163, 1781, 210, 64, 157.50
164, 1640, 178, 64, 157.50
165, 1824, 214, 65, 160.00
166, 2051, 198, 69, 170.00
167, 1085, 196, 61, 150.00
168, 1246, 155, 61, 150.00
169, 2984, 239, 62, 152.50
170, 1398, 163, 61, 150.00
171, 2706, 263, 65, 160.00
172, 925, 148, 58, 142.50
173, 1169, 155, 63, 155.00
174, 1518, 180, 64, 157.50
175, 1382, 200, 59, 145.00
176, 1191, 183, 73, 180.00
177, 1901, 200, 61, 150.00
178, 3798, 309, 67, 165.00
179, 756, 133, 61, 150.00
180, 1472, 205, 62, 152.50
181, 1185, 174, 62, 152.50
182, 1517, 173, 61, 150.00
183, 2986, 239, 58, 142.50
184, 5862, 309, 61, 150.00
185, 1555, 220, 61, 150.00
186, 763, 148, 61, 150.00
187, 904, 199, 63, 155.00
188, 748, 152, 63, 155.00
189, 2591, 222, 64, 157.50
190, 3970, 240, 57, 140.00
191, 1401, 192, 67, 165.00
192, 1652, 208, 67, 165.00
193, 1068, 146, 63, 155.00
194, 1274, 172, 63, 155.00
195, 3434, 260, 63, 155.00
196, 2267, 178, 67, 165.00
197, 1688, 191, 64, 157.50
198, 1771, 185, 62, 152.50
199, 751, 172, 58, 142.50
200, 1783, 176, 65, 160.00
201, 1196, 157, 60, 147.50
202, 2043, 218, 62, 152.50
203, 1183, 150, 63, 155.00
204, 1931, 178, 64, 157.50
205, 4356, 235, 61, 150.00
206, 2496, 219, 60, 147.50
207, 928, 201, 71, 175.00
208, 734, 156, 63, 155.00
209, 1059, 183, 60, 147.50
210, 3029, 248, 69, 170.00
211, 1591, 219, 64, 157.50
212, 2418, 205, 68, 167.50
213, 1317, 154, 60, 147.50
214, 1063, 186, 58, 142.50
215, 2158, 188, 63, 155.00
216, 2076, 199, 66, 162.50
217, 857, 176, 65, 160.00
218, 1669, 252, 73, 180.00
219, 4244, 274, 58, 142.50
220, 2360, 210, 64, 157.50
221, 1243, 157, 61, 150.00
222, 1078, 204, 69, 170.00
223, 2123, 201, 54, 132.50
224, 4560, 270, 66, 162.50
225, 2718, 210, 54, 132.50
226, 4409, 268, 68, 167.50
227, 4510, 276, 66, 162.50
228, 1211, 143, 55, 135.00
229, 1582, 187, 61, 150.00
230, 1731, 184, 70, 172.50
231, 2163, 214, 65, 160.00
232, 1138, 156, 58, 142.50
233, 2691, 204, 65, 160.00
234, 1053, 192, 62, 152.50
235, 2359, 213, 64, 157.50
236, 1182, 175, 65, 160.00
237, 1187, 166, 64, 157.50
238, 915, 140, 58, 142.50
239, 4252, 255, 64, 157.50
240, 1896, 198, 70, 172.50
241, 2374, 225, 61, 150.00
242, 1574, 210, 67, 165.00
243, 4427, 268, 75, 185.00
244, 877, 182, 69, 170.00
245, 2108, 199, 67, 165.00
246, 2347, 251, 68, 167.50
247, 1898, 212, 63, 155.00
248, 2584, 233, 66, 162.50
249, 843, 164, 65, 160.00
250, 2293, 199, 70, 172.50
251, 554, 154, 60, 147.50
252, 867, 199, 67, 165.00
253, 3554, 280, 59, 145.00
254, 1728, 172, 62, 152.50
255, 1464, 186, 61, 150.00
256, 1460, 196, 61, 150.00
257, 2004, 177, 59, 145.00
258, 1186, 153, 59, 145.00
259, 3280, 198, 59, 145.00
260, 2577, 239, 66, 162.50
261, 1103, 155, 60, 147.50
262, 2753, 272, 64, 157.50
263, 2866, 213, 59, 145.00
264, 2040, 186, 63, 155.00
265, 600, 160, 59, 145.00
266, 634, 143, 62, 152.50
267, 1059, 151, 63, 155.00
268, 2782, 229, 66, 162.50
269, 931, 163, 64, 157.50
270, 1323, 162, 61, 150.00
271, 3665, 231, 70, 172.50
272, 3143, 196, 57, 140.00
273, 4859, 279, 63, 155.00
274, 2040, 235, 66, 162.50
275, 2109, 215, 64, 157.50
276, 2203, 268, 65, 160.00
277, 1547, 164, 59, 145.00
278, 3871, 231, 62, 152.50
279, 2630, 198, 63, 155.00
280, 4853, 293, 72, 177.50
281, 1304, 151, 61, 150.00
282, 1738, 168, 62, 152.50
283, 5576, 313, 70, 172.50
284, 1491, 183, 63, 155.00
285, 749, 162, 64, 157.50
286, 1795, 168, 65, 160.00
287, 1693, 194, 63, 155.00
288, 1622, 170, 62, 152.50
289, 1911, 189, 62, 152.50
290, 2003, 171, 67, 165.00
291, 1405, 171, 61, 150.00
292, 1174, 174, 64, 157.50
293, 1047, 175, 70, 172.50
294, 2815, 261, 64, 157.50
295, 1743, 193, 65, 160.00
296, 3743, 305, 78, 192.50
297, 1804, 188, 70, 172.50
298, 2191, 221, 70, 172.50
299, 1264, 177, 68, 167.50
300, 2986, 254, 66, 162.50
301, 1033, 159, 59, 145.00
302, 1185, 206, 69, 170.00
