#Running 100 Trials#World2C#RRTC#
#run, #iterations, #verticies, #solution, #goal
0, 3245, 802, 90, 222.50
1, 5180, 1224, 98, 242.50
2, 5108, 1747, 97, 240.00
3, 2205, 435, 82, 202.50
4, 2810, 995, 88, 217.50
5, 10591, 4327, 98, 242.50
6, 8204, 2994, 91, 225.00
7, 10991, 3682, 93, 230.00
8, 4855, 1320, 94, 232.50
9, 2752, 556, 88, 217.50
10, 4389, 1204, 84, 207.50
11, 5768, 2018, 89, 220.00
12, 2348, 492, 91, 225.00
13, 8044, 2680, 86, 212.50
14, 7688, 2145, 96, 237.50
15, 6303, 2139, 98, 242.50
16, 8428, 3127, 112, 277.50
17, 2977, 587, 89, 220.00
18, 5860, 1259, 92, 227.50
19, 6564, 2035, 91, 225.00
20, 5723, 2280, 84, 207.50
21, 4742, 660, 91, 225.00
22, 6636, 1883, 87, 215.00
23, 8184, 2400, 99, 245.00
24, 5710, 2254, 92, 227.50
25, 3796, 760, 87, 215.00
26, 6619, 2224, 95, 235.00
27, 4660, 1558, 83, 205.00
28, 4178, 1320, 89, 220.00
29, 9242, 2934, 100, 247.50
30, 13428, 4728, 88, 217.50
31, 2292, 525, 88, 217.50
32, 4598, 450, 88, 217.50
33, 2061, 432, 84, 207.50
34, 2347, 409, 93, 230.00
35, 1799, 465, 86, 212.50
36, 8459, 3234, 92, 227.50
37, 2428, 363, 88, 217.50
38, 6150, 2300, 86, 212.50
39, 5633, 2085, 90, 222.50
40, 6290, 1874, 89, 220.00
41, 9160, 2752, 89, 220.00
42, 4736, 1640, 88, 217.50
43, 8853, 2720, 98, 242.50
44, 3222, 1037, 91, 225.00
45, 8259, 1927, 93, 230.00
46, 5423, 1324, 94, 232.50
47, 5055, 1200, 93, 230.00
48, 4613, 1244, 112, 277.50
49, 9434, 3310, 123, 305.00
50, 7161, 2211, 82, 202.50
51, 7568, 2628, 94, 232.50
52, 2464, 544, 89, 220.00
53, 5533, 1297, 104, 257.50
54, 3767, 1055, 92, 227.50
55, 3009, 1028, 88, 217.50
56, 9563, 2851, 86, 212.50
57, 5178, 1948, 95, 235.00
58, 5815, 1785, 89, 220.00
59, 6476, 964, 91, 225.00
60, 2191, 432, 88, 217.50
61, 3103, 461, 92, 227.50
62, 20537, 4886, 96, 237.50
63, 5671, 1920, 92, 227.50
64, 4726, 1426, 90, 222.50
65, 4911, 1508, 90, 222.50
66, 6726, 1823, 91, 225.00
67, 2869, 697, 88, 217.50
68, 2270, 620, 82, 202.50
69, 5649, 2161, 91, 225.00
70, 4693, 1574, 89, 220.00
71, 9140, 3796, 91, 225.00
72, 3049, 609, 90, 222.50
73, 5389, 1064, 90, 222.50
74, 5457, 1268, 90, 222.50
75, 11837, 4164, 96, 237.50
76, 4217, 683, 90, 222.50
77, 4374, 1197, 88, 217.50
78, 2987, 765, 85, 210.00
79, 9752, 3293, 94, 232.50
80, 5363, 1528, 88, 217.50
81, 6449, 2487, 83, 205.00
82, 5408, 1498, 100, 247.50
83, 5219, 1203, 88, 217.50
84, 3789, 1282, 89, 220.00
85, 8947, 3347, 93, 230.00
86, 5817, 1401, 91, 225.00
87, 2141, 599, 92, 227.50
88, 10748, 3364, 90, 222.50
89, 11130, 4226, 91, 225.00
90, 4559, 1098, 94, 232.50
91, 7305, 2714, 128, 317.50
92, 8987, 3393, 89, 220.00
93, 3589, 1119, 86, 212.50
94, 10977, 3505, 94, 232.50
95, 2052, 421, 84, 207.50
96, 7578, 2094, 91, 225.00
97, 6413, 2415, 79, 195.00
98, 7877, 2842, 93, 230.00
99, 8015, 2325, 95, 235.00
100, 2612, 567, 92, 227.50
101, 2844, 1007, 89, 220.00
102, 11985, 4231, 94, 232.50
103, 3961, 1224, 93, 230.00
104, 5469, 1796, 88, 217.50
105, 8885, 2449, 104, 257.50
106, 3472, 1378, 96, 237.50
107, 1775, 360, 87, 215.00
108, 3125, 1120, 87, 215.00
109, 7352, 1963, 87, 215.00
110, 7963, 3190, 96, 237.50
111, 7989, 3250, 93, 230.00
112, 2603, 498, 89, 220.00
113, 7724, 2219, 94, 232.50
114, 3470, 946, 91, 225.00
115, 4147, 1441, 96, 237.50
116, 8645, 3380, 103, 255.00
117, 8088, 3299, 106, 262.50
118, 4502, 1751, 87, 215.00
119, 2711, 486, 88, 217.50
120, 3853, 717, 87, 215.00
121, 3419, 579, 90, 222.50
122, 5486, 1712, 113, 280.00
123, 3318, 982, 94, 232.50
124, 8117, 2641, 92, 227.50
125, 5318, 1311, 82, 202.50
126, 8914, 1867, 96, 237.50
127, 3061, 653, 83, 205.00
128, 4878, 1901, 88, 217.50
129, 5555, 626, 90, 222.50
130, 2779, 507, 90, 222.50
131, 7196, 2455, 89, 220.00
132, 4933, 564, 90, 222.50
133, 4138, 1263, 108, 267.50
