#Running 500 Trials#World1A#RRTSTAR#2500#
#run, #iterations, #verticies, #solution, #goal
0, 2738, 2505, 43, 88.65
1, 2756, 2503, 43, 90.22
2, 2781, 2503, 51, 104.67
3, 2754, 2506, 52, 106.63
4, 2731, 2506, 44, 92.25
5, 2726, 2504, 49, 100.93
6, 2800, 2502, 48, 99.29
7, 2720, 2506, 45, 91.63
8, 2763, 2506, 53, 106.44
9, 2730, 2504, 46, 100.20
10, 2818, 2505, 39, 82.68
11, 2720, 2507, 48, 101.14
12, 2738, 2506, 48, 100.63
13, 2730, 2508, 51, 108.32
14, 2795, 2506, 46, 98.55
15, 2785, 2509, 49, 101.03
16, 2871, 2509, 52, 106.65
17, 2826, 2503, 55, 116.87
18, 2753, 2503, 47, 98.23
19, 2813, 2504, 48, 99.54
20, 2874, 2503, 39, 81.39
21, 2771, 2506, 55, 113.32
22, 2840, 2504, 44, 88.54
23, 2734, 2510, 60, 118.73
24, 2714, 2504, 38, 85.37
25, 2744, 2507, 48, 96.17
26, 2756, 2508, 45, 91.51
27, 2752, 2505, 49, 103.01
28, 2728, 2506, 54, 111.26
29, 2719, 2503, 51, 107.34
30, 2862, 2502, 44, 87.56
31, 2749, 2508, 44, 92.42
32, 2704, 2506, 48, 101.09
33, 2730, 2502, 46, 92.42
34, 2759, 2504, 47, 93.21
35, 2757, 2505, 40, 87.10
36, 2716, 2509, 45, 94.43
37, 2769, 2503, 45, 92.31
38, 2733, 2504, 39, 85.77
39, 2728, 2509, 42, 86.46
40, 2738, 2505, 44, 93.31
41, 2764, 2505, 50, 105.60
42, 2754, 2509, 47, 102.39
43, 2733, 2505, 46, 96.56
44, 2757, 2510, 46, 98.68
45, 2762, 2507, 50, 107.32
46, 2794, 2507, 48, 98.66
47, 2704, 2508, 41, 91.38
48, 2750, 2504, 47, 94.64
49, 2737, 2503, 52, 106.12
50, 2760, 2507, 43, 91.23
51, 2737, 2506, 39, 85.11
52, 2734, 2505, 45, 92.57
53, 2726, 2504, 46, 96.35
54, 2800, 2507, 42, 88.99
55, 2690, 2506, 54, 114.64
56, 2757, 2506, 45, 90.23
57, 2779, 2508, 52, 102.00
58, 2759, 2507, 47, 94.44
59, 2776, 2511, 46, 95.18
60, 2846, 2506, 47, 97.43
61, 2799, 2504, 43, 83.79
62, 2803, 2509, 50, 106.86
63, 2862, 2501, 52, 112.63
64, 2741, 2506, 42, 88.77
65, 2723, 2504, 50, 102.79
66, 2732, 2504, 42, 92.39
67, 2811, 2507, 44, 89.97
68, 2784, 2507, 49, 104.23
69, 2792, 2505, 45, 87.65
70, 2713, 2506, 44, 92.07
71, 2749, 2505, 50, 101.66
72, 2831, 2503, 52, 108.99
73, 2720, 2506, 52, 114.20
74, 2779, 2503, 63, 126.24
75, 2723, 2503, 48, 101.44
76, 2766, 2503, 45, 89.28
77, 2796, 2505, 64, 127.07
78, 2849, 2504, 43, 95.19
79, 2709, 2507, 50, 105.75
80, 2726, 2506, 44, 89.01
81, 2705, 2503, 44, 90.66
82, 2767, 2508, 41, 91.04
83, 2816, 2505, 52, 115.02
84, 2822, 2506, 54, 107.13
85, 2752, 2501, 48, 99.70
86, 2738, 2503, 43, 87.91
87, 2737, 2504, 46, 92.35
88, 2793, 2504, 47, 100.68
89, 2711, 2502, 43, 91.39
90, 2729, 2504, 49, 101.64
91, 2788, 2508, 47, 98.55
92, 2715, 2505, 44, 89.76
93, 2740, 2506, 54, 112.40
94, 2759, 2508, 48, 103.00
95, 2742, 2505, 41, 86.03
96, 2744, 2506, 46, 98.60
97, 2755, 2508, 49, 105.41
98, 2732, 2505, 48, 103.97
99, 2791, 2505, 42, 86.31
100, 2710, 2507, 49, 106.57
101, 2732, 2510, 45, 91.90
102, 2745, 2503, 49, 107.08
103, 2779, 2507, 45, 99.47
104, 2766, 2506, 58, 115.94
105, 2801, 2504, 42, 90.41
106, 2775, 2509, 44, 93.58
107, 2722, 2507, 44, 83.42
108, 2731, 2503, 43, 88.34
109, 2734, 2509, 43, 87.19
110, 2754, 2506, 42, 90.75
111, 2814, 2504, 55, 104.71
112, 2755, 2504, 48, 102.72
113, 2771, 2508, 43, 86.99
114, 2778, 2505, 49, 103.86
115, 2738, 2502, 38, 86.31
116, 2760, 2505, 42, 86.11
117, 2801, 2510, 55, 112.44
118, 2691, 2502, 51, 104.71
119, 2825, 2504, 51, 106.65
120, 2730, 2502, 50, 96.90
121, 2849, 2507, 45, 94.68
122, 2717, 2505, 46, 97.71
123, 2734, 2503, 46, 94.22
124, 2765, 2502, 50, 101.28
125, 2743, 2503, 48, 99.40
126, 2767, 2508, 42, 89.00
127, 2731, 2504, 39, 84.50
128, 2779, 2508, 44, 92.69
129, 2772, 2507, 47, 101.94
130, 2701, 2506, 50, 102.25
131, 2771, 2504, 41, 90.48
132, 2770, 2505, 45, 98.50
133, 2731, 2502, 40, 83.41
134, 2727, 2504, 42, 87.95
135, 2753, 2505, 45, 90.77
136, 2754, 2508, 48, 102.94
137, 2740, 2505, 52, 111.17
138, 2788, 2506, 48, 103.48
139, 2751, 2505, 44, 94.43
140, 2803, 2504, 45, 94.11
141, 2713, 2504, 43, 91.24
142, 2701, 2507, 46, 91.12
143, 2729, 2505, 40, 84.35
144, 2718, 2503, 44, 90.03
145, 2726, 2506, 50, 100.80
146, 2794, 2507, 58, 121.73
147, 2770, 2506, 47, 104.40
148, 2806, 2505, 54, 110.02
149, 2829, 2504, 47, 95.39
150, 2899, 2506, 52, 107.82
151, 2802, 2505, 50, 110.22
152, 2817, 2509, 58, 113.62
153, 2760, 2501, 49, 101.29
154, 2739, 2504, 48, 105.74
155, 2789, 2506, 44, 89.63
156, 2817, 2504, 50, 106.54
157, 2795, 2504, 45, 91.50
158, 2796, 2508, 45, 95.97
159, 2726, 2505, 48, 96.62
160, 2711, 2506, 47, 101.47
161, 2794, 2506, 48, 100.98
162, 2799, 2504, 46, 95.70
163, 2778, 2506, 43, 90.44
164, 2873, 2505, 57, 113.03
165, 2746, 2507, 45, 95.61
166, 2717, 2505, 47, 98.34
167, 2729, 2502, 48, 104.55
168, 2764, 2504, 55, 114.00
169, 2762, 2503, 45, 92.08
170, 2718, 2505, 43, 90.05
171, 2725, 2505, 45, 99.92
172, 2761, 2508, 44, 92.47
173, 2828, 2507, 58, 125.79
174, 2776, 2504, 49, 104.42
175, 2725, 2504, 46, 94.83
176, 2731, 2506, 43, 87.13
177, 2756, 2503, 48, 112.16
178, 2760, 2502, 50, 101.63
179, 2776, 2502, 48, 100.50
180, 2773, 2507, 48, 101.60
181, 2727, 2506, 45, 88.60
182, 2790, 2506, 45, 96.51
183, 2735, 2509, 44, 90.29
184, 2723, 2504, 46, 93.83
185, 2871, 2503, 63, 124.88
186, 2849, 2508, 47, 104.33
187, 2716, 2505, 41, 83.72
188, 2767, 2508, 51, 111.77
189, 2720, 2509, 41, 88.78
190, 2759, 2509, 46, 94.00
191, 2718, 2504, 42, 91.75
192, 2733, 2506, 48, 101.01
193, 2690, 2505, 43, 90.82
194, 2764, 2504, 47, 98.06
195, 2709, 2506, 48, 104.77
196, 2741, 2507, 40, 83.33
197, 2732, 2504, 40, 86.22
198, 2745, 2502, 45, 95.14
199, 2765, 2504, 47, 95.45
200, 2723, 2506, 44, 98.39
201, 2714, 2504, 41, 92.48
202, 2762, 2502, 47, 96.33
203, 2715, 2508, 47, 97.26
204, 2790, 2509, 45, 90.33
205, 2794, 2503, 45, 91.77
206, 2761, 2502, 44, 90.12
207, 2740, 2509, 45, 92.61
208, 2746, 2501, 43, 86.28
209, 2736, 2508, 47, 99.80
210, 2764, 2504, 41, 89.83
211, 2775, 2504, 45, 94.23
212, 2782, 2512, 55, 112.50
213, 2725, 2506, 52, 106.38
214, 2741, 2505, 52, 111.54
215, 2754, 2505, 44, 97.10
216, 2786, 2503, 47, 98.60
217, 2713, 2507, 44, 93.60
218, 2731, 2505, 47, 97.57
219, 2736, 2504, 48, 94.83
220, 2763, 2512, 50, 105.99
221, 2733, 2508, 56, 113.18
222, 2735, 2505, 48, 96.81
223, 2867, 2504, 45, 97.36
224, 2833, 2504, 42, 90.97
225, 2767, 2508, 45, 97.12
226, 2802, 2509, 43, 88.91
227, 2725, 2502, 47, 91.85
228, 2769, 2506, 44, 94.04
229, 2750, 2506, 45, 94.75
230, 2756, 2504, 53, 103.35
231, 2686, 2506, 42, 89.63
232, 2765, 2506, 59, 113.49
233, 2729, 2503, 45, 94.08
234, 2704, 2506, 45, 90.29
235, 2714, 2512, 46, 100.35
236, 2732, 2507, 54, 114.45
237, 2751, 2506, 40, 83.58
238, 2753, 2506, 40, 86.88
239, 2727, 2505, 55, 109.90
240, 2755, 2505, 46, 96.40
241, 2800, 2503, 50, 102.52
242, 2723, 2503, 54, 114.66
243, 2711, 2504, 51, 106.72
244, 2717, 2501, 52, 109.21
245, 2814, 2510, 49, 102.22
246, 2732, 2505, 45, 94.47
247, 2890, 2503, 50, 107.00
248, 2760, 2506, 54, 109.24
249, 2869, 2507, 46, 96.04
250, 2772, 2509, 49, 102.80
251, 2766, 2501, 39, 83.20
252, 2742, 2507, 42, 90.02
253, 2782, 2507, 58, 122.28
254, 2691, 2505, 41, 88.37
255, 2739, 2502, 54, 110.46
256, 2733, 2503, 50, 102.95
257, 2755, 2506, 51, 99.91
258, 2722, 2506, 48, 105.22
259, 2754, 2507, 46, 91.04
260, 2738, 2507, 52, 108.93
261, 2745, 2503, 47, 102.71
262, 2754, 2505, 41, 87.94
263, 2739, 2503, 49, 106.59
264, 2782, 2506, 49, 101.30
265, 2873, 2503, 57, 118.30
266, 2829, 2507, 42, 88.66
267, 2747, 2507, 43, 91.77
268, 2761, 2508, 42, 90.06
269, 2698, 2508, 45, 99.83
270, 2738, 2504, 55, 113.84
271, 2825, 2506, 46, 101.09
272, 2770, 2505, 50, 104.36
273, 2756, 2505, 50, 103.83
274, 2807, 2506, 47, 94.83
275, 2764, 2505, 45, 95.24
276, 2755, 2502, 47, 100.03
277, 2791, 2507, 42, 90.22
278, 2717, 2505, 45, 96.35
279, 2749, 2507, 48, 93.92
280, 2773, 2503, 44, 91.92
281, 2888, 2502, 54, 112.13
282, 2804, 2504, 58, 120.01
283, 2824, 2508, 59, 124.22
284, 2732, 2503, 45, 93.11
285, 2798, 2502, 43, 91.41
286, 2716, 2508, 44, 90.76
287, 2732, 2505, 48, 92.64
288, 2744, 2509, 42, 87.92
289, 2767, 2505, 54, 113.76
290, 2741, 2503, 41, 82.77
291, 2745, 2504, 44, 95.61
292, 2755, 2506, 45, 97.23
293, 2730, 2505, 57, 117.89
294, 2719, 2505, 38, 82.51
295, 2725, 2507, 52, 107.44
296, 2735, 2505, 47, 95.05
297, 2710, 2507, 45, 93.91
298, 2745, 2506, 45, 97.62
299, 2773, 2506, 54, 110.82
300, 2798, 2506, 45, 93.02
301, 2784, 2502, 56, 115.48
302, 2762, 2505, 52, 112.81
303, 2704, 2504, 46, 100.89
304, 2733, 2505, 44, 94.50
305, 2782, 2503, 43, 89.24
306, 2793, 2505, 45, 88.01
307, 2738, 2504, 49, 105.82
308, 2737, 2506, 45, 93.27
309, 2801, 2508, 46, 97.51
310, 2753, 2504, 55, 113.18
311, 2790, 2505, 44, 89.51
312, 2735, 2509, 47, 98.82
313, 2732, 2504, 39, 82.14
314, 2733, 2505, 46, 97.44
315, 2734, 2506, 55, 114.78
316, 2745, 2502, 54, 112.77
317, 2766, 2506, 43, 88.42
318, 2735, 2505, 54, 112.04
319, 2713, 2502, 53, 111.62
320, 2746, 2504, 42, 90.38
321, 2771, 2504, 55, 112.67
322, 2762, 2508, 48, 94.64
323, 2786, 2506, 43, 89.33
324, 2841, 2506, 44, 94.92
325, 2739, 2507, 49, 97.85
326, 2760, 2508, 44, 89.49
327, 2718, 2503, 49, 100.48
328, 2707, 2504, 49, 104.08
329, 2860, 2504, 63, 130.92
330, 2755, 2510, 46, 91.03
331, 2870, 2502, 61, 123.94
332, 2711, 2505, 41, 83.73
333, 2806, 2505, 43, 88.05
334, 2794, 2511, 50, 101.26
335, 2824, 2504, 49, 104.14
336, 2876, 2505, 44, 98.97
337, 2759, 2504, 46, 102.20
338, 2768, 2504, 47, 98.67
339, 2832, 2507, 44, 88.56
340, 2720, 2505, 46, 100.49
341, 2781, 2507, 45, 92.98
342, 2776, 2505, 44, 92.99
343, 2825, 2506, 50, 108.68
344, 2697, 2502, 47, 96.97
345, 2698, 2506, 43, 89.21
346, 2749, 2507, 51, 103.10
347, 2729, 2504, 50, 101.16
348, 2832, 2502, 57, 114.65
349, 2773, 2506, 42, 89.05
350, 2749, 2506, 52, 102.08
351, 2806, 2508, 45, 99.45
352, 2839, 2506, 52, 107.04
353, 2736, 2504, 44, 89.76
354, 2725, 2504, 44, 90.82
355, 2731, 2508, 41, 91.40
356, 2737, 2508, 46, 94.20
357, 2710, 2506, 47, 97.77
358, 2739, 2506, 47, 101.70
359, 2801, 2506, 50, 107.75
360, 2760, 2506, 43, 93.04
361, 2774, 2507, 43, 87.39
362, 2776, 2505, 45, 89.25
363, 2783, 2503, 47, 99.71
364, 2797, 2506, 44, 91.22
365, 2666, 2507, 45, 91.60
366, 2757, 2505, 46, 96.29
367, 2759, 2506, 47, 96.23
368, 2750, 2505, 52, 114.06
369, 2786, 2505, 39, 84.59
370, 2770, 2506, 41, 89.17
371, 2728, 2505, 44, 90.85
372, 2788, 2503, 50, 103.67
373, 2727, 2505, 41, 85.52
374, 2739, 2506, 48, 100.11
375, 2750, 2507, 47, 92.18
376, 2743, 2505, 44, 89.94
377, 2752, 2510, 47, 100.15
378, 2708, 2508, 46, 94.78
