#Running 500 Trials#World1A#RRT#
#run, #iterations, #verticies, #solution, #goal
0, 279, 220, 43, 107.03
1, 507, 360, 63, 155.33
2, 534, 462, 42, 103.00
3, 386, 338, 48, 117.76
4, 420, 310, 47, 115.73
5, 626, 496, 55, 136.97
6, 475, 402, 50, 122.83
7, 355, 246, 53, 131.11
8, 302, 229, 43, 107.05
9, 467, 414, 53, 131.11
10, 379, 304, 48, 118.61
11, 291, 212, 50, 123.17
12, 324, 236, 42, 104.25
13, 323, 237, 45, 110.77
14, 325, 255, 44, 108.21
15, 518, 341, 54, 132.76
16, 777, 619, 58, 144.15
17, 632, 531, 60, 149.12
18, 439, 298, 61, 152.16
19, 310, 282, 40, 97.88
20, 217, 185, 41, 100.99
21, 529, 354, 54, 134.00
22, 507, 448, 46, 114.12
23, 653, 557, 50, 123.16
24, 346, 278, 47, 116.50
25, 303, 242, 45, 110.33
26, 456, 316, 54, 133.86
27, 639, 486, 60, 149.47
28, 592, 494, 43, 106.62
29, 394, 328, 52, 128.77
30, 182, 147, 46, 114.24
31, 695, 603, 49, 121.33
32, 597, 523, 60, 149.12
33, 303, 233, 48, 117.83
34, 500, 408, 53, 131.97
35, 305, 266, 46, 114.12
36, 354, 275, 44, 109.54
37, 504, 408, 43, 106.51
38, 540, 471, 45, 110.26
39, 514, 454, 46, 113.18
40, 534, 449, 45, 111.50
41, 507, 419, 41, 100.33
42, 378, 291, 57, 142.43
43, 869, 723, 56, 139.58
44, 372, 272, 55, 136.83
45, 369, 292, 53, 131.89
46, 278, 207, 47, 116.88
47, 210, 165, 50, 124.62
48, 534, 397, 54, 134.39
49, 545, 352, 59, 145.26
50, 263, 215, 47, 116.56
51, 622, 490, 49, 120.31
52, 309, 219, 46, 114.83
53, 408, 352, 50, 123.00
54, 631, 501, 53, 131.11
55, 481, 422, 49, 122.45
56, 622, 435, 43, 105.35
57, 397, 343, 49, 121.11
58, 465, 364, 55, 135.71
59, 294, 239, 48, 117.77
60, 314, 239, 50, 122.83
61, 909, 809, 51, 125.33
62, 706, 549, 62, 152.76
63, 728, 563, 52, 128.16
64, 207, 164, 40, 97.83
65, 392, 313, 48, 118.02
66, 222, 174, 48, 118.92
67, 310, 223, 43, 106.79
68, 384, 300, 50, 124.28
69, 316, 211, 49, 122.39
70, 436, 323, 54, 134.99
71, 587, 421, 67, 167.01
72, 235, 168, 50, 124.00
73, 184, 132, 44, 107.76
74, 481, 399, 49, 120.50
75, 603, 503, 49, 120.66
76, 388, 340, 45, 110.26
77, 453, 392, 44, 108.16
78, 350, 288, 44, 108.77
79, 435, 305, 49, 121.11
80, 302, 222, 49, 120.33
81, 765, 617, 51, 125.50
82, 314, 258, 42, 104.12
83, 362, 279, 42, 102.83
84, 444, 335, 51, 126.50
85, 462, 380, 43, 105.66
86, 398, 326, 49, 120.33
87, 526, 438, 57, 140.26
88, 768, 651, 44, 109.00
89, 205, 173, 43, 106.81
90, 334, 231, 53, 131.50
91, 536, 437, 55, 135.82
92, 653, 596, 52, 129.49
93, 391, 302, 53, 131.97
94, 343, 253, 44, 109.29
95, 751, 701, 48, 117.83
96, 314, 235, 44, 108.61
97, 436, 305, 58, 142.76
98, 243, 201, 43, 107.12
99, 412, 275, 59, 146.74
100, 218, 182, 39, 95.37
101, 342, 271, 45, 112.16
102, 466, 345, 48, 119.12
103, 375, 290, 52, 129.48
104, 794, 597, 52, 128.16
105, 327, 254, 48, 118.00
106, 528, 416, 46, 114.81
107, 450, 343, 47, 117.30
108, 369, 319, 49, 121.50
109, 659, 530, 58, 144.12
110, 443, 366, 50, 124.17
111, 480, 413, 41, 101.50
112, 469, 386, 56, 139.73
113, 457, 363, 42, 103.61
114, 332, 252, 42, 104.07
115, 344, 283, 54, 134.12
116, 271, 229, 42, 104.24
117, 438, 352, 46, 114.47
118, 645, 569, 46, 114.47
119, 314, 234, 46, 114.12
120, 399, 346, 44, 108.16
121, 259, 198, 41, 101.55
122, 539, 415, 54, 134.00
123, 360, 287, 57, 142.37
124, 354, 253, 39, 96.62
125, 427, 342, 43, 107.25
126, 675, 587, 49, 120.33
127, 275, 184, 47, 115.82
128, 617, 421, 48, 118.00
129, 601, 457, 61, 151.62
130, 385, 307, 54, 133.93
131, 632, 562, 46, 113.61
132, 477, 373, 56, 138.00
133, 513, 476, 41, 101.64
134, 520, 422, 63, 157.22
135, 465, 363, 50, 123.16
136, 371, 283, 50, 124.47
137, 625, 574, 46, 112.76
138, 535, 458, 51, 126.74
139, 304, 235, 45, 110.50
140, 274, 221, 42, 102.76
141, 462, 314, 60, 149.12
142, 680, 569, 53, 130.50
143, 448, 374, 45, 111.97
144, 442, 381, 47, 116.11
145, 319, 247, 50, 123.61
146, 359, 299, 47, 117.40
147, 340, 261, 50, 123.78
148, 436, 317, 54, 133.86
149, 396, 305, 46, 114.33
150, 456, 335, 49, 121.17
151, 274, 186, 44, 108.32
152, 638, 564, 45, 111.62
153, 242, 189, 46, 114.22
154, 227, 159, 42, 104.53
155, 637, 409, 48, 119.00
156, 558, 471, 61, 151.11
157, 542, 372, 45, 111.31
158, 832, 679, 63, 156.62
159, 579, 476, 61, 151.62
160, 415, 356, 39, 97.13
161, 248, 203, 46, 114.77
162, 162, 136, 45, 112.50
163, 458, 361, 46, 113.16
164, 241, 205, 52, 128.00
165, 426, 365, 55, 135.66
166, 247, 173, 47, 116.97
167, 285, 195, 54, 134.99
168, 499, 417, 55, 136.14
169, 610, 464, 46, 113.00
170, 238, 194, 42, 104.52
171, 682, 604, 51, 126.11
172, 722, 636, 55, 137.45
173, 461, 392, 49, 121.97
174, 577, 442, 48, 119.13
175, 902, 764, 46, 113.12
176, 406, 325, 45, 112.26
177, 279, 231, 50, 123.16
178, 466, 428, 42, 103.61
179, 275, 225, 52, 129.04
180, 523, 471, 45, 111.97
181, 783, 627, 50, 124.12
182, 329, 259, 45, 110.33
183, 566, 379, 63, 156.62
184, 408, 284, 48, 119.78
185, 432, 397, 47, 115.26
186, 485, 395, 48, 119.75
187, 398, 310, 55, 135.91
188, 468, 428, 47, 115.66
189, 630, 568, 48, 118.61
190, 467, 429, 51, 126.11
191, 611, 447, 48, 119.00
192, 276, 208, 45, 112.09
193, 429, 388, 46, 114.58
194, 268, 237, 44, 108.17
195, 397, 328, 51, 126.97
196, 395, 327, 48, 118.66
197, 509, 425, 45, 110.33
198, 445, 282, 56, 139.63
199, 367, 270, 52, 129.59
200, 434, 317, 47, 116.97
201, 376, 320, 42, 102.85
202, 321, 255, 42, 103.16
203, 424, 324, 60, 149.59
204, 304, 257, 46, 113.16
205, 316, 241, 46, 113.87
206, 262, 176, 42, 104.19
207, 571, 525, 52, 127.83
208, 753, 664, 50, 123.61
209, 386, 343, 49, 120.66
210, 612, 445, 46, 114.47
211, 613, 460, 56, 139.12
212, 535, 487, 45, 111.74
213, 383, 323, 58, 144.12
214, 502, 435, 51, 126.62
215, 430, 370, 60, 148.00
216, 331, 265, 44, 109.74
217, 423, 387, 50, 123.25
218, 429, 336, 48, 118.00
219, 561, 458, 58, 143.61
220, 384, 290, 46, 113.61
221, 315, 246, 45, 111.15
222, 1124, 1014, 48, 118.16
223, 448, 372, 43, 105.33
224, 301, 225, 46, 114.05
225, 408, 332, 47, 115.33
226, 270, 200, 46, 113.61
227, 409, 289, 53, 131.88
228, 173, 154, 48, 118.01
229, 408, 347, 45, 112.45
230, 323, 285, 43, 105.66
231, 408, 346, 43, 106.50
232, 233, 190, 42, 104.42
233, 315, 227, 41, 102.13
234, 273, 223, 42, 102.83
235, 367, 269, 50, 122.76
236, 434, 326, 58, 144.96
237, 419, 285, 42, 104.47
238, 518, 441, 49, 122.23
239, 732, 619, 49, 121.50
240, 308, 225, 54, 134.97
241, 461, 375, 51, 127.31
242, 609, 463, 60, 148.77
243, 275, 192, 45, 111.41
244, 246, 180, 41, 101.66
245, 851, 749, 51, 126.62
246, 378, 299, 47, 116.11
247, 710, 617, 52, 129.47
248, 406, 302, 41, 101.14
249, 703, 533, 66, 162.76
250, 425, 344, 46, 113.00
251, 254, 183, 43, 107.18
252, 397, 360, 45, 111.73
253, 659, 547, 46, 114.66
254, 422, 345, 53, 130.26
255, 438, 365, 47, 115.66
256, 395, 335, 48, 119.40
257, 328, 258, 43, 106.62
258, 256, 190, 41, 101.98
259, 234, 197, 43, 107.13
260, 541, 485, 51, 125.50
261, 423, 342, 49, 121.11
262, 236, 209, 44, 109.33
263, 301, 233, 52, 129.12
264, 792, 626, 46, 113.00
265, 529, 456, 52, 128.83
266, 390, 309, 52, 128.16
267, 540, 406, 60, 147.76
268, 400, 321, 46, 114.80
269, 447, 354, 43, 105.33
270, 856, 748, 53, 130.50
271, 385, 270, 57, 141.94
272, 348, 260, 43, 106.98
273, 524, 439, 51, 125.66
274, 756, 654, 55, 135.33
275, 661, 582, 48, 118.61
276, 621, 511, 50, 124.00
277, 419, 297, 52, 129.34
278, 366, 314, 45, 111.17
279, 475, 336, 55, 136.11
280, 424, 298, 48, 117.83
281, 262, 189, 43, 105.43
282, 510, 429, 51, 125.50
283, 480, 432, 45, 110.33
284, 366, 311, 46, 113.00
285, 506, 412, 43, 106.50
286, 480, 379, 65, 162.03
287, 675, 598, 50, 124.18
288, 361, 273, 49, 122.21
289, 515, 442, 55, 136.50
290, 588, 462, 60, 147.83
291, 424, 355, 52, 128.01
292, 581, 442, 49, 121.50
293, 737, 593, 54, 132.83
294, 262, 205, 48, 118.46
295, 465, 389, 52, 127.83
296, 485, 359, 48, 119.92
297, 292, 243, 48, 119.27
298, 457, 390, 47, 115.26
299, 335, 249, 52, 129.26
300, 285, 223, 47, 115.66
301, 683, 582, 47, 115.33
302, 465, 373, 45, 110.26
303, 330, 262, 50, 124.90
304, 758, 655, 64, 157.76
305, 794, 696, 48, 117.76
306, 868, 763, 48, 117.83
307, 493, 452, 49, 120.50
308, 429, 332, 49, 121.79
309, 253, 195, 43, 107.27
310, 452, 382, 45, 110.66
311, 555, 489, 53, 130.33
312, 210, 178, 43, 106.41
313, 448, 323, 45, 111.62
314, 474, 392, 50, 124.47
315, 415, 308, 57, 140.72
316, 356, 267, 47, 116.81
317, 461, 404, 49, 121.11
318, 305, 223, 46, 114.22
319, 460, 348, 58, 143.16
320, 952, 804, 47, 115.66
321, 282, 223, 44, 109.01
322, 411, 311, 50, 124.91
323, 625, 521, 55, 136.62
324, 276, 213, 50, 123.45
325, 568, 498, 55, 136.62
326, 315, 260, 48, 118.16
327, 496, 397, 57, 142.18
328, 673, 553, 51, 125.33
329, 283, 212, 43, 106.28
330, 897, 806, 52, 128.00
331, 769, 683, 45, 111.74
332, 689, 527, 42, 103.16
333, 528, 454, 48, 118.81
334, 206, 158, 44, 109.54
335, 734, 633, 45, 111.62
336, 492, 407, 49, 121.50
337, 499, 412, 63, 156.87
338, 886, 762, 55, 136.71
339, 473, 393, 49, 120.39
340, 304, 221, 41, 101.97
341, 720, 517, 51, 125.66
342, 215, 170, 47, 117.39
343, 464, 274, 46, 113.73
344, 308, 272, 54, 134.47
345, 303, 217, 47, 115.78
346, 374, 276, 51, 127.33
347, 573, 488, 50, 122.83
348, 290, 217, 49, 120.80
349, 711, 588, 60, 148.61
350, 654, 521, 62, 153.86
351, 526, 451, 54, 134.47
352, 401, 288, 55, 137.07
353, 324, 237, 53, 132.10
354, 536, 405, 49, 120.50
355, 268, 233, 42, 104.00
356, 560, 400, 48, 119.47
357, 280, 213, 47, 116.11
358, 478, 413, 48, 117.76
359, 539, 474, 50, 124.21
360, 364, 294, 49, 120.33
361, 806, 603, 61, 150.26
362, 435, 364, 47, 116.46
363, 398, 313, 46, 114.03
364, 539, 467, 52, 129.16
365, 360, 286, 51, 126.62
366, 480, 422, 49, 120.33
367, 490, 409, 48, 118.16
368, 556, 495, 51, 125.66
369, 490, 434, 50, 122.83
370, 409, 338, 49, 120.52
371, 305, 233, 43, 105.66
372, 364, 289, 48, 119.47
373, 383, 324, 49, 122.44
374, 313, 248, 51, 126.97
375, 370, 242, 47, 116.62
376, 366, 303, 51, 125.66
377, 424, 372, 54, 133.00
378, 579, 501, 52, 129.12
379, 573, 455, 52, 129.70
380, 462, 354, 59, 146.62
381, 618, 566, 53, 131.74
382, 498, 309, 45, 111.66
383, 319, 254, 45, 111.86
384, 256, 200, 47, 115.92
385, 710, 628, 51, 125.66
386, 526, 456, 56, 138.16
387, 414, 332, 52, 128.61
388, 278, 211, 51, 126.81
389, 347, 257, 59, 147.32
390, 622, 408, 61, 151.62
391, 234, 181, 46, 114.91
392, 321, 243, 46, 112.90
393, 349, 258, 48, 119.37
394, 244, 181, 52, 129.31
395, 438, 367, 55, 137.34
396, 399, 295, 45, 110.66
397, 307, 219, 43, 106.61
398, 650, 592, 47, 115.33
399, 549, 470, 57, 140.66
400, 502, 362, 59, 145.26
401, 472, 398, 59, 146.92
402, 269, 230, 42, 103.39
403, 515, 440, 61, 150.50
404, 495, 444, 50, 124.12
405, 350, 248, 47, 116.59
406, 656, 559, 42, 103.61
407, 421, 357, 44, 108.62
408, 318, 277, 44, 109.21
409, 589, 513, 55, 136.16
410, 340, 265, 47, 115.66
411, 398, 258, 42, 104.83
412, 224, 172, 47, 116.68
413, 552, 417, 45, 111.75
414, 291, 245, 54, 133.61
415, 396, 252, 45, 111.32
416, 251, 197, 45, 112.31
417, 423, 347, 44, 109.24
418, 299, 247, 52, 128.95
419, 382, 248, 52, 129.59
420, 412, 298, 45, 110.50
421, 236, 193, 46, 113.06
422, 351, 273, 54, 133.33
423, 324, 255, 44, 107.76
424, 316, 256, 50, 124.13
425, 253, 196, 46, 112.83
426, 501, 436, 49, 122.29
427, 393, 327, 56, 138.00
428, 384, 328, 46, 113.49
429, 808, 648, 51, 126.11
430, 461, 400, 54, 133.03
431, 425, 362, 51, 125.26
432, 384, 307, 50, 124.12
433, 470, 423, 51, 126.62
434, 356, 248, 43, 106.08
435, 424, 359, 53, 131.97
436, 422, 369, 48, 118.16
437, 429, 306, 46, 113.42
438, 562, 380, 54, 134.24
439, 568, 443, 60, 149.00
440, 333, 262, 45, 110.50
441, 256, 199, 44, 109.54
442, 372, 292, 50, 124.56
443, 247, 204, 44, 108.75
444, 529, 361, 66, 164.12
445, 276, 188, 50, 124.49
446, 291, 231, 50, 123.86
447, 484, 415, 53, 130.66
448, 1117, 1013, 53, 130.50
449, 546, 462, 46, 113.00
450, 267, 212, 52, 128.78
451, 449, 384, 48, 118.16
452, 331, 265, 42, 105.00
453, 412, 316, 49, 121.11
454, 377, 314, 47, 115.50
455, 707, 632, 51, 125.50
456, 513, 453, 55, 136.50
457, 300, 232, 45, 111.50
458, 669, 551, 55, 136.62
459, 526, 413, 44, 107.76
460, 252, 196, 45, 111.78
461, 312, 234, 46, 114.17
462, 336, 265, 54, 133.16
463, 316, 267, 50, 122.83
464, 329, 277, 44, 108.00
465, 305, 247, 44, 108.16
466, 296, 213, 48, 119.73
467, 294, 237, 44, 109.43
468, 276, 225, 47, 116.65
469, 496, 424, 48, 118.00
470, 386, 272, 42, 104.55
471, 511, 361, 55, 136.62
472, 303, 263, 47, 116.11
473, 234, 193, 49, 121.99
474, 595, 468, 50, 122.76
475, 236, 190, 46, 114.99
476, 642, 576, 60, 149.12
477, 517, 436, 49, 120.66
478, 293, 231, 49, 122.24
479, 505, 374, 50, 123.00
480, 243, 168, 44, 109.47
481, 367, 285, 49, 121.50
482, 256, 197, 45, 112.05
483, 327, 250, 44, 109.14
484, 512, 401, 67, 165.33
485, 391, 324, 54, 133.16
486, 904, 808, 47, 115.33
487, 418, 297, 53, 130.50
488, 376, 264, 50, 122.83
489, 534, 458, 49, 120.66
490, 271, 193, 46, 113.87
491, 242, 199, 46, 114.85
492, 316, 274, 53, 131.53
493, 401, 321, 52, 128.90
494, 547, 454, 60, 149.50
495, 724, 604, 51, 126.11
496, 292, 237, 44, 107.83
497, 263, 228, 50, 124.85
498, 363, 299, 43, 106.11
499, 285, 233, 55, 135.66
