#Running 500 Trials#World2A#RRT#
#run, #iterations, #verticies, #solution
0, 3583, 317, 82
1, 6031, 508, 78
2, 2167, 406, 77
3, 2773, 336, 81
4, 1009, 182, 64
5, 1710, 222, 72
6, 1220, 219, 76
7, 2998, 590, 76
8, 3974, 435, 68
9, 1693, 271, 63
10, 4238, 638, 84
11, 1265, 210, 70
12, 2268, 436, 76
13, 1416, 315, 66
14, 1732, 323, 77
15, 4502, 504, 87
16, 1093, 230, 67
17, 943, 256, 75
18, 2565, 513, 68
19, 1241, 296, 69
20, 990, 248, 78
21, 2909, 332, 74
22, 1959, 528, 65
23, 3187, 270, 65
24, 1695, 355, 74
25, 1527, 247, 75
26, 2778, 321, 69
27, 598, 178, 72
28, 864, 177, 69
29, 1856, 420, 72
30, 1785, 221, 67
31, 1743, 203, 66
32, 1674, 281, 69
33, 2802, 283, 71
34, 4304, 614, 78
35, 1113, 298, 87
36, 1089, 254, 75
37, 2296, 286, 70
38, 2347, 258, 70
39, 1857, 296, 76
40, 1532, 219, 77
41, 1062, 199, 75
42, 2245, 795, 77
43, 3373, 622, 83
44, 4444, 337, 66
45, 3990, 521, 82
46, 1857, 313, 67
47, 1814, 359, 68
48, 997, 197, 71
49, 1292, 353, 74
50, 2932, 284, 71
51, 3844, 554, 75
52, 5806, 370, 73
53, 3647, 374, 77
54, 1236, 211, 60
55, 2155, 288, 80
56, 1356, 239, 75
57, 2966, 665, 71
58, 1381, 238, 72
59, 781, 195, 70
60, 2833, 861, 80
61, 2634, 274, 73
62, 1313, 277, 73
63, 2883, 487, 69
64, 2636, 300, 79
65, 2285, 305, 74
66, 1828, 283, 72
67, 609, 154, 71
68, 1632, 214, 68
69, 1795, 273, 65
70, 1043, 467, 80
71, 7876, 415, 67
72, 926, 214, 74
73, 2099, 257, 72
74, 1075, 171, 76
75, 2875, 255, 72
76, 4865, 549, 70
77, 1180, 315, 70
78, 1308, 206, 67
79, 1839, 202, 75
80, 1730, 435, 80
81, 852, 193, 79
82, 3415, 254, 75
83, 1274, 220, 80
84, 1986, 380, 67
85, 1141, 280, 76
86, 2256, 287, 77
87, 1506, 282, 78
88, 1415, 265, 75
89, 1164, 507, 73
90, 3027, 296, 74
91, 2459, 258, 74
92, 1770, 217, 75
