#Running 500 Trials#World2A#RRT#
#run, #iterations, #verticies, #solution
0, 1799, 1624, 58
1, 2006, 1811, 58
2, 787, 729, 56
3, 2439, 2160, 60
4, 1766, 1556, 61
5, 1059, 965, 62
6, 1544, 1376, 63
7, 1292, 1140, 52
8, 3498, 3055, 66
9, 2878, 2523, 71
10, 2425, 2133, 66
11, 1467, 1324, 58
12, 3667, 3200, 60
13, 4328, 3802, 68
14, 1513, 1355, 68
15, 3024, 2670, 63
16, 3871, 3424, 62
17, 3335, 2923, 62
18, 1651, 1492, 69
19, 1671, 1478, 61
20, 1423, 1260, 62
21, 1670, 1462, 72
22, 1203, 1078, 54
23, 1909, 1692, 62
24, 1410, 1263, 58
25, 2167, 1848, 61
26, 2753, 2408, 66
27, 2328, 2065, 70
28, 2190, 1923, 56
29, 4083, 3566, 66
30, 2209, 1983, 54
31, 2370, 2127, 66
32, 1855, 1604, 61
33, 1758, 1560, 57
34, 1723, 1579, 56
35, 2331, 2035, 62
36, 3919, 3466, 65
37, 1683, 1510, 57
38, 1760, 1564, 67
39, 3459, 3070, 62
40, 2029, 1802, 62
41, 3053, 2679, 62
42, 2266, 1968, 66
43, 2870, 2491, 65
44, 3743, 3284, 54
45, 1769, 1586, 54
46, 2061, 1832, 61
47, 1575, 1423, 63
48, 1451, 1277, 67
49, 831, 732, 56
50, 1858, 1647, 62
51, 2015, 1826, 62
52, 1521, 1350, 63
53, 1200, 1107, 56
54, 2936, 2579, 75
55, 1631, 1470, 62
56, 1136, 999, 62
57, 2457, 2136, 74
58, 1846, 1646, 64
59, 3763, 3328, 60
60, 1837, 1614, 60
61, 4811, 4238, 63
62, 1336, 1196, 64
63, 1213, 1086, 64
64, 1420, 1266, 59
65, 1436, 1313, 56
66, 998, 904, 62
67, 4092, 3626, 55
68, 1589, 1412, 69
69, 1381, 1222, 57
70, 2459, 2149, 64
71, 3408, 3013, 65
72, 5707, 5009, 63
73, 1429, 1266, 59
74, 4216, 3705, 61
75, 2046, 1843, 66
76, 1401, 1275, 59
77, 3425, 2987, 61
78, 1278, 1147, 57
79, 1663, 1445, 65
80, 1054, 956, 62
81, 2110, 1858, 60
82, 2492, 2194, 71
83, 2850, 2542, 62
84, 1773, 1579, 66
85, 3244, 2806, 61
86, 2546, 2270, 61
87, 2672, 2380, 62
88, 2117, 1920, 62
89, 2779, 2410, 52
90, 2026, 1792, 54
91, 1078, 977, 56
92, 2378, 2126, 63
93, 3022, 2689, 61
94, 1654, 1471, 67
95, 2346, 2104, 59
96, 1033, 938, 60
97, 3457, 3059, 60
98, 2243, 1991, 66
99, 2979, 2659, 57
100, 3166, 2786, 61
101, 1488, 1350, 59
102, 2767, 2438, 62
103, 1199, 1079, 64
104, 3169, 2776, 57
105, 2638, 2261, 64
106, 3289, 2887, 58
107, 1797, 1598, 62
108, 1733, 1549, 64
109, 3017, 2641, 67
110, 1545, 1380, 70
111, 2019, 1776, 59
112, 2652, 2318, 72
113, 2568, 2255, 66
114, 1327, 1176, 57
115, 1492, 1343, 61
116, 2598, 2293, 60
117, 2260, 1996, 64
118, 2591, 2292, 64
119, 2285, 2026, 64
120, 2898, 2549, 64
121, 1216, 1106, 58
122, 4401, 3847, 68
123, 1867, 1654, 59
124, 2532, 2227, 69
125, 4146, 3634, 64
126, 3300, 2892, 57
127, 1107, 969, 54
128, 1610, 1451, 65
129, 2165, 1890, 80
130, 2917, 2558, 57
131, 1477, 1321, 69
132, 1037, 930, 61
