#Running 500 Trials#World2C#RRT#
#run, #iterations, #verticies, #solution, #goal
0, 6432, 2310, 87, 216.97
1, 2425, 797, 85, 210.33
2, 2148, 1110, 94, 234.13
3, 4873, 2373, 96, 238.16
4, 4547, 2475, 90, 222.83
5, 2870, 1424, 86, 214.74
6, 4747, 2447, 96, 239.12
7, 4860, 2814, 92, 229.12
8, 2812, 1448, 87, 215.66
9, 4208, 846, 86, 213.61
10, 5580, 1639, 95, 236.31
11, 3510, 2438, 90, 222.76
12, 1396, 721, 82, 203.92
13, 4992, 3270, 86, 213.00
14, 3700, 2498, 86, 214.46
15, 3680, 1059, 83, 206.11
16, 4142, 952, 90, 223.16
17, 3810, 960, 89, 221.11
18, 4125, 1399, 113, 281.81
19, 1214, 514, 82, 204.70
20, 2406, 1229, 116, 288.00
21, 3978, 1683, 87, 215.50
22, 8355, 5387, 94, 234.00
23, 2320, 1033, 81, 201.50
24, 1813, 471, 82, 203.19
25, 1909, 700, 83, 205.66
26, 4211, 1887, 83, 206.97
27, 2654, 674, 81, 200.66
28, 3285, 1274, 93, 231.81
29, 4016, 1972, 97, 241.01
30, 6306, 3254, 93, 232.25
31, 4933, 2750, 94, 234.11
32, 3432, 1397, 85, 210.66
33, 3757, 1951, 87, 215.93
34, 7085, 5075, 85, 211.11
35, 2381, 573, 95, 237.35
36, 3960, 823, 86, 212.76
37, 3472, 1818, 88, 218.88
38, 4690, 1921, 93, 232.10
39, 4691, 2965, 96, 237.76
40, 4662, 2332, 91, 226.74
41, 3041, 1678, 91, 225.50
42, 3978, 2752, 93, 230.33
43, 4992, 2953, 92, 229.12
44, 3624, 1403, 94, 233.00
45, 2573, 1213, 84, 209.00
46, 4884, 2481, 87, 215.66
47, 4443, 944, 91, 225.66
48, 5448, 1922, 82, 204.12
49, 1603, 467, 86, 214.97
50, 2782, 1920, 86, 214.73
51, 5456, 3415, 93, 231.11
52, 8155, 2944, 89, 220.66
53, 3347, 1471, 93, 230.50
54, 2787, 1419, 91, 225.33
55, 4021, 2312, 85, 211.86
56, 4733, 2773, 97, 242.16
57, 4710, 2998, 86, 212.83
58, 1303, 596, 82, 203.75
59, 3476, 715, 87, 215.66
60, 1309, 354, 86, 213.16
61, 2300, 701, 83, 205.68
62, 3853, 692, 89, 220.26
63, 4082, 1019, 88, 219.76
64, 9422, 3818, 88, 219.13
65, 3297, 1637, 82, 203.16
66, 2749, 999, 79, 197.32
67, 4106, 875, 92, 227.83
68, 6395, 3236, 96, 237.76
69, 3680, 1397, 91, 226.62
70, 5421, 3635, 109, 270.33
71, 9752, 7071, 92, 229.12
72, 4054, 1307, 88, 218.00
73, 4219, 2624, 88, 218.00
74, 2209, 463, 88, 218.08
75, 2681, 1191, 97, 240.50
76, 2839, 1772, 92, 228.81
77, 2482, 755, 87, 215.75
78, 1831, 567, 89, 221.74
79, 5378, 3244, 91, 226.11
80, 5467, 3062, 88, 219.47
81, 2130, 1139, 93, 231.66
82, 3244, 1385, 93, 230.33
83, 2710, 1769, 93, 230.50
84, 4571, 1687, 92, 227.76
85, 3733, 2121, 81, 200.66
86, 7828, 2057, 87, 217.28
87, 4597, 2137, 98, 243.00
88, 4135, 1507, 92, 229.66
89, 2215, 867, 88, 219.19
90, 2970, 1615, 82, 202.76
91, 2662, 1796, 86, 213.16
92, 3477, 1404, 93, 230.66
93, 2403, 418, 80, 199.18
94, 4758, 2409, 89, 220.66
95, 2527, 1229, 85, 212.07
96, 3535, 1262, 81, 201.14
97, 2683, 1175, 90, 223.16
98, 5839, 3713, 98, 242.83
99, 2273, 464, 85, 210.50
100, 3152, 1429, 90, 224.12
101, 9720, 4904, 91, 226.54
102, 5611, 2800, 128, 319.00
103, 4748, 3344, 88, 219.47
104, 4136, 932, 99, 246.11
105, 2277, 505, 85, 210.26
106, 2436, 1048, 107, 265.50
107, 5295, 2030, 82, 204.47
108, 4482, 1836, 97, 240.35
109, 1402, 554, 87, 216.16
110, 2108, 1398, 85, 210.54
111, 4953, 3159, 115, 286.07
112, 1589, 496, 88, 218.61
113, 6030, 4139, 91, 225.71
114, 6618, 2383, 88, 219.12
115, 2949, 1823, 117, 290.53
116, 4357, 1802, 90, 223.61
117, 2546, 992, 77, 191.32
118, 2061, 658, 91, 227.15
119, 2321, 1045, 89, 220.66
120, 4358, 1972, 96, 239.12
121, 3720, 1523, 89, 220.66
122, 3352, 1038, 86, 212.76
