#Running 100 Trials#World2B#RRTC#
#run, #iterations, #verticies, #solution, #goal
0, 3060, 1476, 63, 155.00
1, 5217, 2464, 63, 155.00
2, 3069, 1461, 71, 175.00
3, 2054, 1005, 66, 162.50
4, 4748, 2264, 67, 165.00
5, 2501, 1210, 64, 157.50
6, 2291, 1100, 57, 140.00
7, 1479, 720, 65, 160.00
8, 2337, 1129, 63, 155.00
9, 2439, 1180, 62, 152.50
10, 4634, 2172, 62, 152.50
11, 3762, 1788, 60, 147.50
12, 3814, 1789, 60, 147.50
13, 3105, 1465, 58, 142.50
14, 3924, 1850, 61, 150.00
15, 8487, 3959, 77, 190.00
16, 3164, 1511, 59, 145.00
17, 7546, 3520, 55, 135.00
18, 6034, 2821, 65, 160.00
19, 3823, 1823, 66, 162.50
20, 6796, 3196, 57, 140.00
21, 3718, 1765, 63, 155.00
22, 2623, 1263, 71, 175.00
23, 2549, 1215, 70, 172.50
24, 3225, 1545, 70, 172.50
25, 5862, 2774, 71, 175.00
26, 3957, 1880, 55, 135.00
27, 3129, 1495, 71, 175.00
28, 4136, 1942, 63, 155.00
29, 2886, 1369, 63, 155.00
30, 3903, 1865, 58, 142.50
31, 4909, 2323, 58, 142.50
32, 3987, 1858, 57, 140.00
33, 8386, 3914, 57, 140.00
34, 5322, 2506, 64, 157.50
35, 3960, 1885, 68, 167.50
36, 3395, 1609, 64, 157.50
37, 1700, 837, 68, 167.50
38, 4929, 2336, 58, 142.50
39, 4158, 1962, 62, 152.50
40, 1636, 775, 67, 165.00
41, 3588, 1691, 64, 157.50
42, 4332, 2054, 65, 160.00
43, 4950, 2352, 65, 160.00
44, 2793, 1345, 66, 162.50
45, 5832, 2753, 74, 182.50
46, 4288, 2040, 60, 147.50
47, 2786, 1335, 58, 142.50
48, 5343, 2499, 60, 147.50
49, 7645, 3601, 68, 167.50
50, 3083, 1473, 61, 150.00
51, 4871, 2314, 78, 192.50
52, 9952, 4659, 68, 167.50
53, 2903, 1379, 56, 137.50
54, 1281, 627, 58, 142.50
55, 3907, 1856, 63, 155.00
56, 2390, 1141, 64, 157.50
57, 4181, 1981, 61, 150.00
58, 12496, 5833, 62, 152.50
59, 6950, 3274, 65, 160.00
60, 2914, 1407, 65, 160.00
61, 4517, 2129, 70, 172.50
62, 8752, 4106, 63, 155.00
63, 5273, 2467, 69, 170.00
64, 6517, 3032, 62, 152.50
65, 3867, 1842, 62, 152.50
66, 3248, 1538, 59, 145.00
67, 7198, 3409, 67, 165.00
68, 9176, 4284, 55, 135.00
69, 2937, 1403, 62, 152.50
70, 3587, 1715, 65, 160.00
71, 4543, 2158, 53, 130.00
72, 6714, 3167, 70, 172.50
73, 4234, 1987, 74, 182.50
74, 1924, 929, 58, 142.50
75, 4399, 2091, 64, 157.50
76, 1379, 682, 61, 150.00
77, 9979, 4687, 66, 162.50
78, 1544, 756, 68, 167.50
79, 4479, 2128, 64, 157.50
