#Running 500 Trials#World1A#RRTSTAR#500#
#run, #iterations, #verticies, #solution, #goal
0, 627, 501, 54, 121.80
1, 631, 500, 0, 0.00
2, 585, 501, 49, 104.46
3, 581, 501, 49, 115.20
4, 580, 500, 0, 0.00
5, 590, 500, 0, 0.00
6, 636, 500, 0, 0.00
7, 647, 501, 57, 125.33
8, 576, 501, 43, 96.06
9, 619, 501, 43, 97.43
10, 572, 502, 48, 107.76
11, 580, 501, 40, 89.39
12, 579, 502, 48, 107.98
13, 577, 502, 44, 92.78
14, 570, 501, 50, 109.69
15, 611, 501, 44, 95.64
16, 595, 502, 54, 124.88
17, 740, 500, 0, 0.00
18, 568, 502, 45, 98.82
19, 576, 502, 50, 109.31
20, 557, 502, 50, 111.14
21, 565, 500, 0, 0.00
22, 558, 501, 43, 103.11
23, 608, 502, 50, 111.40
24, 586, 501, 45, 99.15
25, 573, 501, 51, 111.97
26, 627, 501, 50, 112.32
27, 561, 502, 50, 109.90
28, 636, 501, 50, 102.69
29, 572, 504, 41, 94.42
30, 584, 501, 51, 115.95
31, 607, 501, 48, 110.98
32, 565, 502, 46, 106.77
33, 593, 502, 51, 124.57
34, 583, 501, 41, 88.87
35, 583, 502, 60, 126.74
36, 599, 501, 52, 111.64
37, 610, 501, 48, 118.26
38, 679, 502, 54, 130.05
39, 614, 501, 62, 134.35
40, 629, 501, 50, 119.69
41, 597, 501, 45, 108.55
42, 548, 501, 50, 115.80
43, 618, 503, 52, 112.87
44, 601, 502, 48, 110.04
45, 568, 501, 40, 92.44
46, 622, 501, 55, 122.36
47, 723, 502, 59, 142.31
48, 584, 502, 49, 114.75
49, 596, 500, 0, 0.00
50, 632, 502, 57, 135.25
51, 575, 501, 49, 110.94
52, 601, 501, 55, 124.37
53, 601, 502, 54, 123.60
54, 567, 502, 47, 101.67
55, 612, 505, 42, 92.11
56, 567, 502, 53, 116.47
57, 570, 503, 44, 105.32
58, 635, 502, 46, 100.14
59, 588, 501, 45, 100.03
60, 593, 501, 49, 111.42
61, 549, 501, 48, 109.23
62, 600, 502, 58, 132.08
63, 648, 502, 50, 118.51
64, 601, 505, 51, 114.56
65, 677, 502, 63, 138.91
66, 578, 503, 46, 104.70
67, 570, 502, 43, 95.57
68, 623, 502, 51, 116.08
69, 585, 501, 51, 109.21
70, 637, 500, 0, 0.00
71, 615, 501, 52, 116.63
72, 559, 501, 53, 121.54
73, 586, 501, 51, 111.15
74, 588, 500, 0, 0.00
75, 597, 502, 44, 97.64
76, 603, 501, 46, 103.43
77, 646, 501, 61, 144.46
78, 592, 500, 0, 0.00
79, 578, 503, 50, 110.26
80, 674, 502, 50, 113.44
81, 559, 501, 49, 114.11
