#Running 500 Trials#World1A#RRTSTAR#500#
#run, #iterations, #verticies, #solution, #goal
0, 562, 501, 46, 113.50
1, 556, 501, 46, 112.99
2, 581, 500, -1, -1.00
3, 556, 501, 50, 121.00
4, 600, 500, -1, -1.00
5, 587, 501, 44, 113.91
6, 596, 501, 43, 109.29
7, 589, 501, 56, 133.91
8, 573, 501, 45, 109.74
9, 565, 501, 48, 123.91
10, 580, 501, 42, 104.50
11, 573, 501, 48, 116.77
12, 556, 501, 43, 107.24
13, 611, 501, 41, 101.00
14, 599, 501, 48, 121.00
15, 574, 501, 47, 116.41
16, 609, 501, 42, 103.91
17, 560, 501, 45, 112.61
18, 594, 500, -1, -1.00
19, 702, 501, 60, 149.28
20, 596, 501, 58, 141.00
21, 598, 501, 46, 112.00
22, 596, 501, 55, 133.28
23, 582, 501, 45, 112.24
24, 561, 501, 50, 127.24
25, 599, 500, -1, -1.00
26, 572, 501, 56, 139.50
27, 599, 501, 54, 131.00
28, 717, 501, 60, 153.91
29, 583, 501, 48, 118.50
30, 600, 501, 48, 118.50
31, 627, 501, 52, 126.41
32, 588, 500, -1, -1.00
33, 572, 501, 44, 105.44
34, 576, 501, 56, 136.41
35, 596, 501, 47, 116.41
36, 585, 501, 40, 98.91
37, 598, 501, 50, 126.37
38, 570, 501, 45, 113.50
39, 660, 501, 52, 132.89
40, 615, 501, 52, 129.74
41, 625, 501, 58, 143.50
42, 585, 501, 51, 129.91
43, 609, 501, 52, 126.41
44, 613, 501, 47, 116.00
45, 584, 501, 49, 124.50
46, 616, 501, 49, 121.00
47, 547, 501, 48, 121.41
48, 570, 501, 44, 108.50
49, 593, 501, 45, 112.12
50, 564, 500, -1, -1.00
51, 592, 501, 46, 111.00
52, 585, 500, -1, -1.00
53, 577, 501, 51, 123.50
54, 567, 501, 43, 103.91
55, 557, 501, 48, 125.18
56, 584, 501, 55, 136.00
57, 573, 501, 45, 112.00
58, 594, 501, 47, 115.86
59, 586, 501, 50, 121.52
60, 594, 501, 56, 137.12
61, 580, 501, 41, 104.01
62, 548, 501, 46, 112.24
63, 627, 500, -1, -1.00
64, 591, 501, 43, 105.29
65, 568, 501, 46, 114.01
66, 591, 501, 56, 136.54
67, 577, 501, 44, 111.41
68, 545, 501, 45, 112.24
69, 586, 501, 47, 118.50
70, 577, 501, 54, 136.41
71, 572, 500, -1, -1.00
72, 603, 501, 51, 129.50
73, 546, 501, 59, 146.41
74, 576, 501, 49, 121.00
75, 616, 501, 48, 121.28
76, 591, 501, 51, 126.41
77, 578, 501, 44, 107.94
78, 638, 501, 51, 125.00
79, 559, 501, 47, 111.99
80, 596, 501, 50, 123.50
81, 608, 501, 49, 122.24
82, 579, 501, 40, 100.30
83, 559, 501, 48, 118.50
84, 613, 501, 48, 119.50
85, 577, 501, 41, 102.24
86, 572, 501, 54, 134.74
87, 591, 501, 53, 129.50
88, 579, 501, 50, 124.27
89, 574, 501, 45, 114.74
90, 555, 501, 48, 118.91
91, 586, 500, -1, -1.00
92, 624, 500, -1, -1.00
93, 560, 501, 46, 113.50
94, 605, 501, 45, 112.24
95, 615, 501, 60, 148.50
96, 588, 501, 43, 108.49
97, 674, 501, 58, 144.74
98, 582, 501, 51, 126.41
99, 600, 501, 44, 105.96
100, 579, 501, 40, 99.50
101, 602, 501, 52, 128.88
102, 569, 501, 42, 105.50
103, 545, 501, 44, 110.23
104, 579, 501, 46, 113.50
105, 632, 501, 43, 107.00
106, 572, 501, 57, 141.00
107, 661, 501, 67, 162.50
108, 586, 500, -1, -1.00
109, 639, 501, 45, 111.00
110, 581, 501, 50, 123.50
111, 561, 501, 48, 116.73
112, 626, 501, 45, 112.24
113, 585, 501, 49, 121.00
114, 617, 501, 44, 111.71
115, 575, 501, 43, 107.00
116, 580, 501, 47, 117.24
117, 590, 501, 55, 137.61
118, 560, 501, 46, 117.00
119, 677, 501, 46, 116.00
120, 628, 501, 55, 137.00
121, 536, 501, 47, 116.06
122, 579, 501, 43, 103.91
123, 608, 501, 60, 148.50
124, 545, 501, 49, 121.41
125, 560, 501, 57, 144.50
126, 558, 501, 44, 114.50
127, 630, 501, 49, 121.82
128, 632, 501, 45, 112.24
129, 586, 501, 42, 106.00
130, 569, 500, -1, -1.00
131, 569, 501, 45, 114.74
132, 563, 501, 50, 121.00
133, 615, 501, 58, 144.43
134, 657, 501, 47, 116.00
135, 685, 500, -1, -1.00
136, 565, 501, 47, 117.24
137, 591, 501, 45, 109.74
138, 574, 501, 43, 108.91
139, 727, 501, 70, 172.24
140, 582, 501, 52, 129.74
141, 574, 501, 40, 104.74
142, 622, 501, 49, 121.41
143, 584, 500, -1, -1.00
144, 590, 501, 43, 106.00
145, 568, 501, 58, 139.28
146, 633, 501, 54, 133.49
147, 572, 501, 46, 114.50
148, 579, 501, 44, 108.50
149, 628, 501, 47, 113.50
150, 599, 501, 51, 122.00
151, 588, 501, 46, 117.00
152, 564, 501, 52, 128.81
153, 575, 501, 42, 106.20
154, 568, 501, 46, 113.57
155, 561, 501, 42, 103.74
156, 609, 501, 46, 113.87
157, 614, 501, 41, 102.24
158, 573, 500, -1, -1.00
159, 574, 501, 40, 102.76
160, 578, 501, 42, 106.00
161, 561, 501, 45, 111.41
162, 647, 500, -1, -1.00
163, 577, 501, 41, 102.24
164, 703, 501, 64, 158.50
165, 601, 501, 50, 127.00
166, 596, 501, 50, 125.09
167, 564, 501, 44, 108.50
168, 571, 501, 45, 111.84
169, 579, 501, 43, 104.74
170, 626, 501, 47, 117.24
171, 617, 501, 52, 128.42
172, 597, 501, 49, 123.50
173, 568, 501, 49, 122.17
174, 696, 500, -1, -1.00
175, 627, 501, 45, 111.40
176, 626, 501, 44, 107.44
177, 705, 501, 54, 134.74
178, 563, 501, 51, 127.24
179, 570, 501, 50, 124.50
180, 622, 501, 54, 133.91
181, 646, 500, -1, -1.00
182, 574, 501, 51, 127.00
183, 672, 501, 55, 137.34
184, 568, 501, 45, 109.54
185, 575, 501, 47, 116.00
186, 654, 501, 59, 142.50
187, 622, 501, 44, 109.85
188, 593, 501, 46, 114.87
189, 719, 500, -1, -1.00
190, 604, 501, 56, 136.00
191, 584, 501, 49, 122.24
192, 548, 501, 45, 112.24
193, 559, 501, 48, 119.74
194, 620, 501, 47, 117.24
195, 586, 501, 46, 117.24
196, 597, 501, 53, 132.00
197, 625, 500, -1, -1.00
198, 585, 501, 45, 108.91
199, 568, 500, -1, -1.00
200, 580, 501, 41, 101.00
201, 587, 501, 57, 141.41
202, 570, 501, 49, 121.68
203, 598, 501, 52, 129.50
204, 638, 501, 56, 137.24
205, 590, 501, 43, 107.00
206, 597, 501, 45, 111.41
207, 585, 501, 46, 112.24
208, 582, 501, 45, 106.54
209, 613, 501, 45, 111.00
210, 570, 501, 49, 121.41
211, 620, 501, 63, 157.24
212, 578, 501, 54, 138.50
213, 599, 501, 50, 123.91
214, 560, 501, 45, 111.00
215, 602, 500, -1, -1.00
216, 607, 500, -1, -1.00
217, 627, 501, 57, 141.00
218, 674, 501, 54, 136.00
219, 605, 500, -1, -1.00
220, 579, 501, 49, 118.50
221, 623, 501, 39, 99.23
222, 578, 501, 44, 107.00
223, 619, 501, 48, 117.45
224, 564, 501, 56, 139.74
225, 580, 501, 51, 127.00
226, 597, 501, 48, 119.74
227, 635, 501, 50, 122.50
228, 628, 501, 48, 119.32
229, 599, 501, 41, 103.50
230, 589, 501, 44, 111.41
231, 559, 501, 52, 128.50
232, 593, 501, 52, 129.74
233, 590, 501, 44, 109.74
234, 568, 501, 43, 106.98
235, 614, 501, 47, 117.00
236, 574, 501, 41, 103.50
237, 588, 501, 49, 118.28
238, 629, 501, 50, 121.49
239, 583, 501, 51, 126.40
240, 624, 501, 49, 122.24
241, 578, 501, 52, 132.24
242, 587, 501, 55, 134.15
243, 581, 500, -1, -1.00
244, 590, 501, 44, 109.74
245, 607, 501, 51, 122.50
246, 594, 501, 50, 123.50
247, 604, 501, 42, 103.91
248, 592, 501, 48, 116.00
249, 625, 501, 52, 129.50
250, 589, 501, 49, 122.00
251, 582, 501, 50, 123.50
252, 602, 501, 40, 96.00
253, 574, 501, 47, 116.41
254, 605, 501, 46, 114.74
255, 623, 501, 53, 132.44
256, 591, 501, 49, 117.24
257, 604, 501, 50, 122.24
258, 623, 501, 48, 115.21
259, 600, 501, 43, 103.91
260, 631, 501, 46, 113.91
261, 619, 501, 45, 108.50
262, 658, 501, 59, 144.50
263, 694, 501, 48, 119.38
264, 598, 501, 50, 121.00
265, 576, 501, 44, 106.30
266, 565, 501, 51, 127.00
267, 560, 501, 51, 124.74
268, 575, 501, 40, 102.00
269, 595, 500, -1, -1.00
270, 578, 501, 46, 112.50
271, 642, 501, 53, 131.00
272, 656, 501, 47, 121.41
273, 544, 501, 44, 109.74
274, 636, 501, 44, 108.91
275, 580, 501, 46, 113.50
276, 606, 501, 55, 138.50
277, 596, 501, 39, 94.74
278, 623, 501, 51, 132.24
279, 560, 501, 42, 103.91
280, 639, 501, 59, 149.74
281, 576, 501, 45, 108.25
282, 553, 501, 49, 122.00
283, 611, 501, 53, 128.66
284, 595, 501, 59, 146.41
285, 631, 501, 47, 116.00
286, 606, 501, 47, 115.23
287, 593, 500, -1, -1.00
288, 570, 501, 48, 119.44
289, 594, 501, 51, 127.24
290, 580, 501, 41, 102.00
291, 599, 501, 45, 110.00
292, 586, 501, 48, 117.13
293, 558, 501, 48, 119.50
294, 557, 501, 50, 123.50
295, 618, 501, 52, 129.74
296, 592, 501, 49, 122.24
297, 585, 501, 52, 129.50
298, 582, 501, 52, 128.25
299, 580, 501, 53, 133.91
