#Running 500 Trials#World1A#RRTSTAR#500#
#run, #iterations, #verticies, #solution, #goal
0, 1025, 500, -1, -1.00
1, 931, 500, -1, -1.00
2, 989, 500, -1, -1.00
3, 900, 501, 65, 161.00
4, 752, 501, 59, 141.00
5, 1077, 500, -1, -1.00
6, 1069, 500, -1, -1.00
7, 894, 500, -1, -1.00
8, 773, 501, 67, 166.00
9, 1028, 500, -1, -1.00
10, 1020, 500, -1, -1.00
11, 1069, 500, -1, -1.00
12, 1039, 500, -1, -1.00
13, 818, 501, 64, 162.00
14, 1053, 500, -1, -1.00
15, 1027, 500, -1, -1.00
16, 1029, 500, -1, -1.00
17, 890, 500, -1, -1.00
18, 1020, 500, -1, -1.00
19, 954, 500, -1, -1.00
20, 909, 500, -1, -1.00
21, 1102, 500, -1, -1.00
22, 1033, 500, -1, -1.00
23, 940, 500, -1, -1.00
24, 995, 500, -1, -1.00
25, 741, 501, 67, 170.14
26, 1061, 500, -1, -1.00
27, 903, 501, 66, 163.50
28, 923, 500, -1, -1.00
29, 1077, 500, -1, -1.00
30, 1041, 500, -1, -1.00
31, 1024, 500, -1, -1.00
32, 953, 500, -1, -1.00
33, 1114, 500, -1, -1.00
34, 929, 500, -1, -1.00
35, 928, 500, -1, -1.00
36, 909, 500, -1, -1.00
37, 1088, 500, -1, -1.00
38, 977, 500, -1, -1.00
39, 1097, 500, -1, -1.00
40, 863, 501, 65, 161.13
41, 867, 500, -1, -1.00
42, 1056, 500, -1, -1.00
43, 1017, 500, -1, -1.00
44, 982, 500, -1, -1.00
45, 1024, 500, -1, -1.00
46, 890, 500, -1, -1.00
47, 1085, 500, -1, -1.00
48, 1048, 500, -1, -1.00
49, 838, 501, 66, 157.24
50, 946, 500, -1, -1.00
51, 1062, 500, -1, -1.00
52, 833, 501, 74, 183.91
53, 1023, 500, -1, -1.00
54, 1042, 500, -1, -1.00
55, 902, 500, -1, -1.00
56, 929, 500, -1, -1.00
57, 1012, 500, -1, -1.00
58, 761, 501, 70, 174.74
59, 843, 501, 62, 155.42
60, 1011, 500, -1, -1.00
61, 1036, 500, -1, -1.00
62, 908, 500, -1, -1.00
63, 1035, 500, -1, -1.00
64, 832, 501, 72, 182.00
65, 1075, 500, -1, -1.00
66, 1073, 500, -1, -1.00
67, 1024, 500, -1, -1.00
68, 799, 501, 67, 168.50
69, 1011, 500, -1, -1.00
70, 812, 501, 65, 161.73
71, 1009, 500, -1, -1.00
72, 1057, 500, -1, -1.00
73, 908, 500, -1, -1.00
74, 843, 501, 68, 166.93
75, 1060, 500, -1, -1.00
76, 815, 501, 63, 157.24
77, 738, 501, 62, 152.50
78, 914, 500, -1, -1.00
79, 979, 500, -1, -1.00
80, 885, 500, -1, -1.00
81, 1086, 500, -1, -1.00
82, 962, 500, -1, -1.00
83, 1079, 500, -1, -1.00
84, 1027, 500, -1, -1.00
85, 984, 500, -1, -1.00
86, 903, 500, -1, -1.00
87, 940, 500, -1, -1.00
88, 819, 501, 72, 178.50
89, 1059, 500, -1, -1.00
90, 1093, 500, -1, -1.00
91, 770, 501, 72, 178.50
92, 1110, 500, -1, -1.00
93, 960, 500, -1, -1.00
94, 1056, 500, -1, -1.00
95, 1019, 500, -1, -1.00
96, 1027, 500, -1, -1.00
97, 1109, 500, -1, -1.00
98, 988, 500, -1, -1.00
99, 1028, 500, -1, -1.00
100, 1058, 500, -1, -1.00
101, 923, 500, -1, -1.00
102, 1016, 500, -1, -1.00
103, 1027, 500, -1, -1.00
104, 1103, 500, -1, -1.00
105, 829, 501, 63, 153.91
106, 1073, 500, -1, -1.00
107, 751, 501, 66, 160.62
108, 1020, 500, -1, -1.00
109, 1021, 500, -1, -1.00
110, 855, 501, 63, 164.03
111, 1009, 500, -1, -1.00
112, 993, 500, -1, -1.00
113, 872, 501, 68, 167.50
114, 826, 501, 67, 167.00
115, 1133, 500, -1, -1.00
116, 1061, 500, -1, -1.00
117, 974, 500, -1, -1.00
118, 980, 500, -1, -1.00
119, 1008, 500, -1, -1.00
120, 942, 500, -1, -1.00
121, 1075, 500, -1, -1.00
122, 1064, 500, -1, -1.00
123, 941, 500, -1, -1.00
124, 1008, 500, -1, -1.00
125, 871, 500, -1, -1.00
126, 975, 500, -1, -1.00
127, 790, 501, 65, 161.41
128, 997, 500, -1, -1.00
129, 977, 500, -1, -1.00
130, 1061, 500, -1, -1.00
131, 922, 500, -1, -1.00
132, 800, 501, 71, 178.50
133, 990, 500, -1, -1.00
134, 912, 500, -1, -1.00
135, 958, 500, -1, -1.00
136, 880, 500, -1, -1.00
137, 866, 501, 73, 184.50
138, 844, 501, 70, 171.00
139, 1058, 500, -1, -1.00
140, 977, 500, -1, -1.00
141, 990, 500, -1, -1.00
142, 1017, 500, -1, -1.00
143, 1085, 500, -1, -1.00
144, 998, 500, -1, -1.00
145, 1054, 500, -1, -1.00
146, 957, 501, 62, 154.24
147, 1159, 500, -1, -1.00
148, 1018, 500, -1, -1.00
149, 1068, 500, -1, -1.00
150, 820, 501, 70, 171.72
151, 892, 500, -1, -1.00
152, 1075, 500, -1, -1.00
153, 995, 500, -1, -1.00
154, 945, 500, -1, -1.00
155, 1051, 500, -1, -1.00
156, 967, 500, -1, -1.00
157, 858, 500, -1, -1.00
158, 977, 500, -1, -1.00
159, 1060, 500, -1, -1.00
160, 1037, 500, -1, -1.00
161, 892, 501, 60, 149.74
162, 1027, 500, -1, -1.00
163, 1006, 500, -1, -1.00
164, 1071, 500, -1, -1.00
165, 1083, 500, -1, -1.00
166, 1055, 500, -1, -1.00
167, 789, 501, 77, 192.76
168, 1018, 500, -1, -1.00
169, 937, 500, -1, -1.00
170, 1037, 500, -1, -1.00
171, 764, 501, 69, 173.50
172, 919, 500, -1, -1.00
173, 1101, 500, -1, -1.00
174, 746, 501, 65, 162.00
175, 941, 500, -1, -1.00
176, 1074, 500, -1, -1.00
177, 899, 500, -1, -1.00
178, 1099, 500, -1, -1.00
179, 1106, 500, -1, -1.00
180, 1003, 500, -1, -1.00
181, 931, 501, 69, 167.50
182, 988, 500, -1, -1.00
